Data_Ocorrencia;Periodo_Ocorrencia;Bairro;Cidade;Flagrante;Delegacia_Nome;Descr_Automovel
31/01/2022;Tarde;SAO MATEUS;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
31/01/2022;Noite;LAGOA GRANDE;EMBU GUACU; Não;101Âº D.P. JDIM IMBUIAS;AUTOMOVEL
31/01/2022;Noite;GRAJAU;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;JARDIM UMUARAMA;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
31/01/2022;Noite;JARDIM DO COLEGIO;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
31/01/2022;Noite;SANTA FELÃ­CIA;S.CARLOS; Não;DEL.SEC.SÃƒO CARLOS PLANTÃƒO;AUTOMOVEL
31/01/2022;Noite;REG PLANEJAMENTO 2;MAUA; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;JABAQUARA;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
31/01/2022;Manha;JARDIM BELA VISTA;S.ANDRE; Não;DELEGACIA ELETRONICA;AUTOMOVEL
31/01/2022;Noite;PARQUE ELDORADO;CAMPINAS; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;JARDIM RECORD;TABOAO DA SERRA; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;AREA RURAL;CARAPICUIBA; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;PARQUE NOVO ORATÃ“RIO I;S.ANDRE; Não;02Âº D.P. SANTO ANDRÃ‰;MOTOCICLO
31/01/2022;Noite;VILA TIBIRIÃ‡Ã;S.ANDRE; Não;DELEGACIA ELETRONICA;AUTOMOVEL
31/01/2022;Noite;JD FLORENCE;CAMPINAS; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;LAJEADO;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;RURAL;PIRAPOZINHO;Sim;DEL.POL.PIRAPOZINHO;AUTOMOVEL
31/01/2022;Noite;VILA MATILDE;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
31/01/2022;Noite;RIO PEQUENO;S.PAULO;Sim;14Âº D.P. PINHEIROS;
31/01/2022;Noite;RIO PEQUENO;S.PAULO;Sim;14Âº D.P. PINHEIROS;AUTOMOVEL
31/01/2022;Noite;RIO PEQUENO;S.PAULO;Sim;14Âº D.P. PINHEIROS;CAMINHONETE
31/01/2022;Noite;RIO PEQUENO;S.PAULO;Sim;14Âº D.P. PINHEIROS;
31/01/2022;Noite;RIO PEQUENO;S.PAULO;Sim;14Âº D.P. PINHEIROS;AUTOMOVEL
31/01/2022;Noite;RIO PEQUENO;S.PAULO;Sim;14Âº D.P. PINHEIROS;CAMINHONETE
01/02/2022;Madrugada;ALVES DIAS;S.BERNARDO DO CAMPO; Não;DELEGACIA ELETRONICA;MOTOCICLO
