Data_Ocorrencia;Periodo_Ocorrencia;Cidade;Flagrante;Descr_Automovel
31/01/2022;Tarde;S.PAULO; Não;AUTOMOVEL
31/01/2022;Noite;EMBU GUACU; Não;AUTOMOVEL
31/01/2022;Noite;S.PAULO; Não;MOTOCICLO
31/01/2022;Noite;S.PAULO; Não;AUTOMOVEL
31/01/2022;Noite;S.PAULO; Não;AUTOMOVEL
31/01/2022;Noite;S.CARLOS; Não;AUTOMOVEL
31/01/2022;Noite;MAUA; Não;MOTOCICLO
31/01/2022;Noite;S.PAULO; Não;AUTOMOVEL
31/01/2022;Manha;S.ANDRE; Não;AUTOMOVEL
31/01/2022;Noite;CAMPINAS; Não;MOTOCICLO
31/01/2022;Noite;TABOAO DA SERRA; Não;MOTOCICLO
31/01/2022;Noite;CARAPICUIBA; Não;MOTOCICLO
31/01/2022;Noite;S.ANDRE; Não;MOTOCICLO
31/01/2022;Noite;S.ANDRE; Não;AUTOMOVEL
31/01/2022;Noite;CAMPINAS; Não;MOTOCICLO
31/01/2022;Noite;S.PAULO; Não;MOTOCICLO
31/01/2022;Noite;PIRAPOZINHO;Sim;AUTOMOVEL
31/01/2022;Noite;S.PAULO; Não;MOTOCICLO
31/01/2022;Noite;S.PAULO;Sim;
31/01/2022;Noite;S.PAULO;Sim;AUTOMOVEL
31/01/2022;Noite;S.PAULO;Sim;CAMINHONETE
31/01/2022;Noite;S.PAULO;Sim;
31/01/2022;Noite;S.PAULO;Sim;AUTOMOVEL
31/01/2022;Noite;S.PAULO;Sim;CAMINHONETE
01/02/2022;Madrugada;S.BERNARDO DO CAMPO; Não;MOTOCICLO
31/01/2022;Noite;RIBEIRAO PRETO;Sim;
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
31/01/2022;Noite;RIBEIRAO PRETO;Sim;AUTOMOVEL
01/02/2022;Madrugada;JUQUITIBA; Não;CAMINHONETE
01/02/2022;Madrugada;S.ANDRE; Não;AUTOMOVEL
01/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
01/02/2022;Madrugada;MAIRINQUE; Não;SEMI REBOQUE
01/02/2022;Madrugada;MAIRINQUE; Não;SEMI REBOQUE
01/02/2022;Madrugada;MAIRINQUE; Não;SEMI REBOQUE
01/02/2022;Madrugada;MAIRINQUE; Não;CAMINHÃƒO TRATOR
31/01/2022;Noite;S.BERNARDO DO CAMPO;Sim;
31/01/2022;Noite;S.BERNARDO DO CAMPO;Sim;
01/02/2022;Manha;S.PAULO; Não;MOTOCICLO
01/02/2022;Manha;S.PAULO; Não;MOTOCICLO
01/02/2022;Madrugada;JABOTICABAL; Não;MOTOCICLO
31/01/2022;Manha;GUARULHOS; Não;CAMINHÃƒO
31/01/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
31/01/2022;Tarde;DIADEMA; Não;MOTOCICLO
31/01/2022;Tarde;ITAQUAQUECETUBA; Não;SEMI REBOQUE
31/01/2022;Tarde;ITAQUAQUECETUBA; Não;CAMINHÃƒO TRATOR
31/01/2022;Noite;OSASCO; Não;MOTOCICLO
27/01/2022;Manha;JUNDIAI; Não;REBOQUE
27/01/2022;Manha;JUNDIAI; Não;CAMINHÃƒO TRATOR
31/01/2022;Noite;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
31/01/2022;Tarde;ITAPIRA; Não;MOTOCICLO
31/01/2022;Tarde;S.PAULO; Não;
31/01/2022;Tarde;S.PAULO; Não;AUTOMOVEL
31/01/2022;Tarde;S.PAULO; Não;
31/01/2022;Tarde;S.PAULO; Não;AUTOMOVEL
29/01/2022;Noite;S.PAULO; Não;MOTOCICLO
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;MOTOCICLO
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;MOTOCICLO
31/01/2022;Noite;S.PAULO; Não;CAMINHONETE
31/01/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
31/01/2022;Noite;GUARULHOS; Não;MOTOCICLO
31/01/2022;Noite;S.PAULO; Não;MOTOCICLO
01/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
31/01/2022;Tarde;OSASCO; Não;
31/01/2022;Tarde;OSASCO; Não;CAMINHONETE
31/01/2022;Tarde;OSASCO; Não;
31/01/2022;Tarde;OSASCO; Não;CAMINHONETE
31/01/2022;Tarde;OSASCO; Não;
31/01/2022;Tarde;OSASCO; Não;CAMINHONETE
31/01/2022;Tarde;GUARULHOS; Não;MOTOCICLO
31/10/2021;Tarde;EMBU GUACU; Não;CAMINHONETE
31/01/2022;Noite;S.PAULO; Não;AUTOMOVEL
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;MOTOCICLO
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;MOTOCICLO
01/02/2022;Manha;PORTO FELIZ; Não;
01/02/2022;Manha;PORTO FELIZ; Não;SEMI REBOQUE
01/02/2022;Manha;PORTO FELIZ; Não;CAMINHÃƒO TRATOR
01/02/2022;Manha;PORTO FELIZ; Não;
01/02/2022;Manha;PORTO FELIZ; Não;SEMI REBOQUE
01/02/2022;Manha;PORTO FELIZ; Não;CAMINHÃƒO TRATOR
01/02/2022;Madrugada;S.ANDRE; Não;MOTONETA
31/01/2022;Noite;S.PAULO; Não;AUTOMOVEL
01/02/2022;Manha;S.PAULO; Não;CAMINHONETE
01/02/2022;Manha;DIADEMA; Não;AUTOMOVEL
01/02/2022;Manha;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
30/01/2022;Madrugada;CAMPINAS; Não;AUTOMOVEL
01/02/2022;Madrugada;CUBATAO; Não;
01/02/2022;Madrugada;CUBATAO; Não;CAMINHÃƒO
01/02/2022;Madrugada;CUBATAO; Não;
01/02/2022;Madrugada;CUBATAO; Não;CAMINHÃƒO
01/02/2022;Manha;CAMPINAS; Não;CAMINHONETE
01/02/2022;Manha;S.BERNARDO DO CAMPO; Não;MOTOCICLO
01/02/2022;Manha;S.PAULO; Não;UTILITÃRIO
01/02/2022;Manha;BRODOWSKI; Não;CAMINHONETE
31/01/2022;Noite;CARAPICUIBA; Não;AUTOMOVEL
01/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
27/01/2022;Manha;FRANCA; Não;
27/01/2022;Manha;FRANCA; Não;
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
01/02/2022;Manha;S.PAULO; Não;
01/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
01/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
31/01/2022;Tarde;CAMPINAS; Não;CAMINHÃƒO
28/01/2022;Noite;SOROCABA; Não;MOTOCICLO
31/01/2022;Noite;AGUAI; Não;AUTOMOVEL
